03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:22:01.746       dream.log  INFO REQ 64 GET /static/images/team_03.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.747       dream.log  INFO REQ 59 200 in 1139 μs
03.01.26 20:22:01.747       dream.log  INFO REQ 60 200 in 908 μs
03.01.26 20:22:01.747       dream.log  INFO REQ 65 GET /static/images/player_095778.png ::1:59162 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.747       dream.log  INFO REQ 66 GET /static/images/player_095710.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.747       dream.log  INFO REQ 67 GET /static/images/player_095263.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.747       dream.log  WARN REQ 66 404 in 128 μs
03.01.26 20:22:01.748       dream.log  INFO REQ 64 200 in 1309 μs
03.01.26 20:22:01.749       dream.log  INFO REQ 65 200 in 2548 μs
03.01.26 20:22:01.750       dream.log  INFO REQ 67 200 in 2874 μs
03.01.26 20:22:01.752       dream.log  INFO REQ 68 GET /static/images/player_095912.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
